timestamp,updateId,source,sequenceNumber
1756384600965,75447508154,bookTicker,666
1756384600965,75447508159,bookTicker,667
1756384600966,75447508165,bookTicker,668
1756384600966,75447508167,bookTicker,669
1756384600966,75447508171,bookTicker,670
1756384600967,75447508173,bookTicker,671
1756384600967,75447508181,bookTicker,672
1756384600968,75447508183,bookTicker,673
1756384600968,75447508189,bookTicker,674
1756384600968,75447508192,bookTicker,675
1756384600968,75447508203,bookTicker,676
1756384600969,75447508205,bookTicker,677
1756384600969,75447508208,bookTicker,678
1756384600969,75447508224,bookTicker,679
1756384600970,75447508229,bookTicker,680
1756384600970,75447508233,bookTicker,681
1756384600971,75447508234,bookTicker,682
1756384600971,75447508239,bookTicker,683
1756384600972,75447508248,bookTicker,684
1756384600973,75447508250,bookTicker,685
1756384600973,75447508260,bookTicker,686
1756384600974,75447508269,bookTicker,687
1756384600974,75447508274,bookTicker,688
1756384600974,75447508281,bookTicker,689
1756384600975,75447508285,bookTicker,690
1756384600975,75447508286,bookTicker,691
1756384600976,75447508290,bookTicker,692
1756384600976,75447508291,bookTicker,693
1756384600976,75447508295,bookTicker,694
1756384600977,75447508297,bookTicker,695
1756384600977,75447508298,bookTicker,696
1756384600978,75447508307,bookTicker,697
1756384600978,75447508310,bookTicker,698
1756384600979,75447508311,bookTicker,699
1756384600979,75447508313,bookTicker,700
1756384600979,75447508316,bookTicker,701
1756384600979,75447508322,bookTicker,702
1756384600980,75447508323,bookTicker,703
1756384600980,75447508325,bookTicker,704
1756384600981,75447508331,bookTicker,705
1756384600981,75447508332,bookTicker,706
1756384600981,75447508333,bookTicker,707
1756384600982,75447508336,bookTicker,708
1756384600982,75447508340,bookTicker,709
1756384600983,75447508341,bookTicker,710
1756384600983,75447508342,bookTicker,711
1756384600984,75447508344,bookTicker,712
1756384600985,75447508345,bookTicker,713
1756384600986,75447508346,bookTicker,714
1756384600986,75447508348,bookTicker,715
1756384600987,75447508349,bookTicker,716
1756384600987,75447508351,bookTicker,717
1756384600988,75447508352,bookTicker,718
1756384600988,75447508353,bookTicker,719
1756384600988,75447508357,bookTicker,720
1756384600989,75447508358,bookTicker,721
1756384600989,75447508368,bookTicker,722
1756384600996,75447508380,bookTicker,723
1756384600997,75447508382,bookTicker,724
1756384600997,75447508385,bookTicker,725
1756384601000,75447508387,bookTicker,726
1756384601003,75447508388,bookTicker,727
1756384601017,75447508396,bookTicker,728
1756384601031,75447508405,bookTicker,729
1756384601042,75447508426,depth5,48
1756384601067,75447508435,bookTicker,730
1756384601068,75447508452,bookTicker,731
1756384601095,75447508470,bookTicker,732
1756384601122,75447508481,bookTicker,733
1756384601126,75447508486,bookTicker,734
1756384601127,75447508487,bookTicker,735
1756384601127,75447508488,bookTicker,736
1756384601127,75447508489,bookTicker,737
1756384601128,75447508490,bookTicker,738
1756384601129,75447508491,bookTicker,739
1756384601129,75447508492,bookTicker,740
1756384601129,75447508494,bookTicker,741
1756384601130,75447508495,bookTicker,742
1756384601130,75447508496,bookTicker,743
1756384601130,75447508503,bookTicker,744
1756384601131,75447508504,bookTicker,745
1756384601131,75447508512,bookTicker,746
1756384601131,75447508516,bookTicker,747
1756384601132,75447508525,bookTicker,748
1756384601132,75447508528,bookTicker,749
1756384601132,75447508530,bookTicker,750
1756384601133,75447508534,bookTicker,751
1756384601133,75447508537,bookTicker,752
1756384601133,75447508539,bookTicker,753
1756384601134,75447508546,bookTicker,754
1756384601134,75447508549,bookTicker,755
1756384601135,75447508567,bookTicker,756
1756384601135,75447508570,bookTicker,757
1756384601135,75447508571,bookTicker,758
1756384601136,75447508578,bookTicker,759
1756384601136,75447508583,bookTicker,760
1756384601136,75447508589,bookTicker,761
1756384601136,75447508594,bookTicker,762
1756384601137,75447508599,bookTicker,763
1756384601137,75447508605,bookTicker,764
1756384601137,75447508610,bookTicker,765
1756384601138,75447508614,bookTicker,766
1756384601138,75447508617,bookTicker,767
1756384601139,75447508621,bookTicker,768
1756384601139,75447508623,bookTicker,769
1756384601140,75447508627,bookTicker,770
1756384601140,75447508629,bookTicker,771
1756384601140,75447508630,bookTicker,772
1756384601141,75447508632,bookTicker,773
1756384601141,75447508634,bookTicker,774
1756384601142,75447508804,depth5,49
1756384601142,75447508636,bookTicker,775
1756384601143,75447508637,bookTicker,776
1756384601143,75447508655,bookTicker,777
1756384601143,75447508662,bookTicker,778
1756384601144,75447508664,bookTicker,779
1756384601144,75447508666,bookTicker,780
1756384601145,75447508669,bookTicker,781
1756384601145,75447508671,bookTicker,782
1756384601145,75447508673,bookTicker,783
1756384601146,75447508675,bookTicker,784
1756384601146,75447508677,bookTicker,785
1756384601146,75447508678,bookTicker,786
1756384601147,75447508679,bookTicker,787
1756384601147,75447508680,bookTicker,788
